species,drainage,stream,community,sample_id,date_sampled,date_processed,measured_by,sex_stage,sl,tl,weight,parasite_visible_externally,infected
killifish,Guanapo,Lower Lalaja,KO,1,10/28/2023,11/02/2023,TP ,I,33.39,40.5,0.552,0,0
killifish,Guanapo,Lower Lalaja,KO,2,10/28/2023,11/02/2023,TP ,M,33.1,40.95,0.602,0,0
killifish,Guanapo,Lower Lalaja,KO,3,10/28/2023,11/02/2023,TP ,F,69.55,80.36,5.321,0,0
killifish,Guanapo,Lower Lalaja,KO,4,10/28/2023,11/02/2023,TP ,M,46.39,55.57,1.585,0,0
killifish,Guanapo,Lower Lalaja,KO,5,10/28/2023,11/02/2023,TP ,M,45.34,54.16,1.425,0,0
killifish,Guanapo,Lower Lalaja,KO,6,10/28/2023,11/02/2023,TP ,M,40.66,49.29,1.109,0,0
killifish,Guanapo,Lower Lalaja,KO,7,10/28/2023,11/02/2023,TP ,M,31.05,38.73,0.48,0,0
killifish,Guanapo,Lower Lalaja,KO,8,10/28/2023,11/02/2023,TP ,M,36.41,44.29,0.764,0,0
killifish,Guanapo,Lower Lalaja,KO,9,10/28/2023,11/02/2023,TP ,F,38.64,47.64,0.864,1,1
killifish,Guanapo,Lower Lalaja,KO,10,10/28/2023,11/02/2023,TP ,M,35.68,43.8,0.716,1,1
killifish,Guanapo,Lower Lalaja,KO,11,10/28/2023,11/02/2023,TP ,I,32.14,39.53,0.47,1,1
killifish,Guanapo,Lower Lalaja,KO,12,10/28/2023,11/02/2023,TP ,M,32.53,40.75,0.561,0,0
killifish,Guanapo,Lower Lalaja,KO,13,10/28/2023,11/02/2023,TP ,F,57.3,70.18,3.216,0,0
killifish,Guanapo,Lower Lalaja,KO,14,10/28/2023,11/02/2023,TP ,M,33.66,38.99,0.566,0,0
killifish,Guanapo,Lower Lalaja,KO,15,10/28/2023,11/02/2023,TP ,M,31.02,37.88,0.438,0,0
killifish,Guanapo,Lower Lalaja,KO,16,10/28/2023,11/02/2023,RSM,F,40.79,46.2,0.888,0,1
killifish,Guanapo,Lower Lalaja,KO,17,10/28/2023,11/02/2023,RSM,M,32.61,38.89,0.525,0,0
killifish,Guanapo,Lower Lalaja,KO,18,10/28/2023,11/02/2023,RSM,M,50.46,59.31,2.109,0,0
killifish,Guanapo,Lower Lalaja,KO,19,10/28/2023,11/02/2023,RSM,F,50.61,60.46,2.335,0,0
killifish,Guanapo,Lower Lalaja,KO,20,10/28/2023,11/02/2023,RSM,M,36.53,41.26,0.602,0,0
killifish,Guanapo,Lower Lalaja,KO,21,10/28/2023,11/02/2023,RSM,F,67.82,75.06,4.327,0,0
killifish,Guanapo,Lower Lalaja,KO,22,10/28/2023,11/02/2023,RSM,F,46.61,52.24,1.317,0,1
killifish,Guanapo,Lower Lalaja,KO,23,10/28/2023,11/02/2023,RSM,M,40.35,46.89,0.88,0,0
killifish,Guanapo,Lower Lalaja,KO,24,10/28/2023,11/02/2023,RSM,M,39.99,47.6,0.909,0,1
killifish,Guanapo,Lower Lalaja,KO,25,10/28/2023,11/02/2023,RSM,M,36.95,42.77,0.677,0,1
killifish,Guanapo,Lower Lalaja,KO,26,10/28/2023,11/02/2023,RSM,I,26.4,31.39,0.242,0,1
killifish,Guanapo,Lower Lalaja,KO,27,10/28/2023,11/02/2023,RSM,I,36.51,42.83,0.675,0,0
killifish,Guanapo,Lower Lalaja,KO,28,10/28/2023,11/02/2023,RSM,M,33.38,38.74,0.525,0,0
killifish,Guanapo,Lower Lalaja,KO,29,10/28/2023,11/02/2023,RSM,I,33.03,38.9,0.515,0,1
killifish,Guanapo,Lower Lalaja,KO,30,10/28/2023,11/02/2023,RSM,M,31.93,37.83,0.462,0,0
killifish,Guanapo,Lower Lalaja,KO,31,10/28/2023,11/02/2023,RSM,M,58.94,66.53,2.982,0,1
killifish,Guanapo,Lower Lalaja,KO,32,10/28/2023,11/02/2023,RSM,M,47.4,54.22,1.578,0,0
killifish,Guanapo,Lower Lalaja,KO,33,10/28/2023,11/02/2023,RSM,M,35.3,39.11,0.564,0,0
killifish,Guanapo,Lower Lalaja,KO,34,10/28/2023,11/02/2023,RSM,I,28.32,34.92,0.292,1,1
killifish,Guanapo,Lower Lalaja,KO,35,10/28/2023,11/02/2023,RSM,I,29.65,35.32,0.332,0,0
killifish,Guanapo,Lower Lalaja,KO,36,10/28/2023,11/02/2023,TP ,I,25.8,32.65,0.277,0,0
killifish,Guanapo,Lower Lalaja,KO,37,10/28/2023,11/02/2023,RSM,I,27.27,32.19,0.26,1,1
killifish,Guanapo,Lower Lalaja,KO,38,10/28/2023,11/02/2023,TP ,M,51.65,62.67,2.292,0,0
killifish,Guanapo,Lower Lalaja,KO,39,10/28/2023,11/02/2023,RSM,I,27.27,31.53,0.315,0,0
killifish,Guanapo,Lower Lalaja,KO,40,10/28/2023,11/02/2023,RSM,M,33.57,38.62,0.551,0,0
killifish,Guanapo,Lower Lalaja,KG,41,10/28/2023,11/02/2023,TP,F,49.59,61.96,2.065,0,0
killifish,Guanapo,Lower Lalaja,KG,42,10/28/2023,11/02/2023,IMM,M,40.5,46.16,0.792,0,0
killifish,Guanapo,Lower Lalaja,KG,43,10/28/2023,11/02/2023,RSM,I,38.64,47.58,0.832,1,1
killifish,Guanapo,Lower Lalaja,KG,44,10/28/2023,11/02/2023,RSM,M,47.38,52.79,1.374,0,0
killifish,Guanapo,Lower Lalaja,KG,45,10/28/2023,11/02/2023,IMM,I,36.05,,0.547,0,1
killifish,Guanapo,Lower Lalaja,KG,46,10/28/2023,11/02/2023,TP,F,47.11,56.92,1.556,0,0
killifish,Guanapo,Lower Lalaja,KG,47,10/28/2023,11/02/2023,RSM,M,40.19,47.54,0.983,1,1
killifish,Guanapo,Lower Lalaja,KG,48,10/28/2023,11/02/2023,IMM,F,60.87,72.03,3.068,0,0
killifish,Guanapo,Lower Lalaja,KG,49,10/28/2023,11/02/2023,TP,M,58.7,72.13,3.437,1,1
killifish,Guanapo,Lower Lalaja,KG,50,10/28/2023,11/02/2023,RSM,M,39.08,46.57,0.82,0,0
killifish,Guanapo,Lower Lalaja,KG,51,10/28/2023,11/02/2023,IMM,F,36.07,42.72,0.67,0,0
killifish,Guanapo,Lower Lalaja,KG,52,10/28/2023,11/02/2023,RSM,F,41.94,48.54,0.961,0,1
killifish,Guanapo,Lower Lalaja,KG,53,10/28/2023,11/02/2023,TP,I,25.59,30.79,0.214,0,0
killifish,Guanapo,Lower Lalaja,KG,54,10/28/2023,11/02/2023,IMM,I,23.99,27.88,0.164,0,1
killifish,Guanapo,Lower Lalaja,KG,55,10/28/2023,11/02/2023,RSM,F,43.74,51.2,1.377,0,1
killifish,Guanapo,Lower Lalaja,KG,56,10/28/2023,11/02/2023,IMM,I,34.23,39.18,0.493,0,0
killifish,Guanapo,Lower Lalaja,KG,57,10/28/2023,11/02/2023,TP,I,35.98,44.25,0.716,0,0
killifish,Guanapo,Lower Lalaja,KG,58,10/28/2023,11/02/2023,IMM,I,32.38,38.44,0.442,0,1
killifish,Guanapo,Lower Lalaja,KG,59,10/28/2023,11/02/2023,RSM,F,57.85,66.56,3.008,0,0
killifish,Guanapo,Lower Lalaja,KG,60,10/28/2023,11/02/2023,RSM,F,53.54,58.69,1.912,0,1
killifish,Guanapo,Lower Lalaja,KG,61,10/28/2023,11/02/2023,IMM,M,35.66,41.55,0.553,1,1
killifish,Guanapo,Lower Lalaja,KG,62,10/28/2023,11/02/2023,RSM,F,39.72,46.5,0.841,0,0
killifish,Guanapo,Lower Lalaja,KG,63,10/28/2023,11/02/2023,TP,M,38.79,47.74,0.858,0,1
guppy,Guanapo,Lower Lalaja,KG,64,10/28/2023,11/02/2023,RSM,F,30.44,,0.504,0,1
guppy,Guanapo,Lower Lalaja,KG,65,10/28/2023,11/02/2023,IMM,M,18.38,,0.125,0,0
guppy,Guanapo,Lower Lalaja,KG,66,10/28/2023,11/02/2023,DLM,M,17.86,,0.099,0,1
guppy,Guanapo,Lower Lalaja,KG,67,10/28/2023,11/02/2023,IMM,F,25.89,,0.358,0,0
guppy,Guanapo,Lower Lalaja,KG,68,10/28/2023,11/02/2023,RSM,F,23.17,,0.237,0,0
guppy,Guanapo,Lower Lalaja,KG,69,10/28/2023,11/02/2023,RSM,F,24.69,,0.346,0,1
guppy,Guanapo,Lower Lalaja,KG,70,10/28/2023,11/02/2023,IMM,F,20.99,,0.179,0,0
guppy,Guanapo,Lower Lalaja,KG,71,10/28/2023,11/02/2023,DLM,F,23.91,,0.286,0,0
