"X","individual_id","sampling","FishID","marker","old_mark","dna","ID","capture_date","processing_date","location","tank","sex_stage","SL","TL","measured_by","picture_label","picture_type","weight","Dead","comments","release_date","sampling_id","status","stream","sex","sampling.year","sampling.month","sampling.day","Habitat","upstream","downstream","distance","parasite","lead.sampling","lead.TL","lead.weight","lead.maturity","lead.capture.date","growth.TL","growth.mass","growth.days","months.until.recapture"
24135,11002,86,"TY-1B4R7O",NA,NA,0,26831,2015-04-10,NA,"I-P-16.5",NA,"F",NA,77,NA,NA,0,5.156,0,"REDO B1, R4-orig.id:T1053",NA,86,1,"TY","F",8,4,10,"I",NA,NA,NA,0,87,78.5,5.184,"F","2015-05-19",1.5,0.0280000000000005,39,1
24136,11002,87,"TY-1B4R7O",NA,NA,0,28136,2015-05-19,NA,"I-P-16",NA,"F",NA,78.5,NA,NA,0,5.184,0,"#",NA,87,1,"TY","F",8,5,19,"I",NA,NA,NA,0,88,79,5.165,"F","2015-06-10",0.5,-0.0190000000000001,22,1
24137,11002,88,"TY-1B4R7O",NA,NA,0,29469,2015-06-10,NA,"I-P-19",NA,"F",NA,79,NA,NA,0,5.165,0,"#",NA,88,1,"TY","F",8,6,10,"I",NA,NA,NA,0,98,74.5,3.67,"F","2016-04-23",-4.5,-1.495,318,10
24138,11002,98,"TY-1B4R7O",NA,NA,0,32244,2016-04-23,NA,"I-P-17",NA,"F",NA,74.5,NA,NA,0,3.67,0,"caud wear-orig.id:T1053",NA,98,1,"TY","F",9,4,23,"I",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24139,11003,86,"TY-4B5B7O",NA,NA,0,26666,2015-04-09,NA,"C-P-181",NA,"M",NA,76.5,NA,NA,0,4.452,0,"STOUT. REFRESH ALL-orig.id:T1123",NA,86,1,"TY","M",8,4,9,"C",NA,NA,NA,0,88,77,4.271,"M","2015-06-09",0.5,-0.181,61,2
24140,11003,88,"TY-4B5B7O",NA,NA,0,29275,2015-06-09,NA,"C-P-181.4",NA,"M",NA,77,NA,NA,0,4.271,0,"#",NA,88,1,"TY","M",8,6,9,"C",NA,NA,NA,0,89,75,4.206,"M","2015-07-10",-2,-0.0649999999999995,31,1
24141,11003,89,"TY-4B5B7O",NA,NA,0,30622,2015-07-10,NA,"C-P-179",NA,"M",NA,75,NA,NA,0,4.206,0,"#",NA,89,1,"TY","M",8,7,10,"C",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24142,11004,87,"TY-1R6O8O",NA,NA,0,28137,2015-05-19,NA,"I-P-49",NA,"F",NA,67,NA,NA,0,3.113,0,"#",NA,87,1,"TY","F",8,5,19,"I",NA,NA,NA,0,88,68,2.806,"F","2015-06-10",1,-0.307,22,1
24143,11004,88,"TY-1R6O8O",NA,NA,0,29470,2015-06-10,NA,"I-SP-51",NA,"F",NA,68,NA,NA,0,2.806,0,"REDO R1-orig.id:T1145",NA,88,1,"TY","F",8,6,10,"I",NA,NA,NA,0,89,67,2.505,"F","2015-07-12",-1,-0.301,32,1
24144,11004,89,"TY-1R6O8O",NA,NA,0,30777,2015-07-12,NA,"I-P-48.1",NA,"F",NA,67,NA,NA,0,2.505,0,"OLD, SKINNY-orig.id:T1145",NA,89,1,"TY","F",8,7,12,"I",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24145,11005,88,"TY-2Y6B8O",NA,NA,0,29276,2015-06-09,NA,"C-P-169.7",NA,"M",NA,73.5,NA,NA,0,4.053,0,"#",NA,88,1,"TY","M",8,6,9,"C",NA,NA,NA,0,89,72.5,3.775,"M","2015-07-10",-1,-0.278,31,1
24146,11005,89,"TY-2Y6B8O",NA,NA,0,30623,2015-07-10,NA,"C-P-167.8",NA,"M",NA,72.5,NA,NA,0,3.775,0,"#",NA,89,1,"TY","M",8,7,10,"C",NA,NA,NA,0,99,70,3.324,"M","2016-05-22",-2.5,-0.451,317,10
24147,11005,99,"TY-2Y6B8O",NA,NA,0,34600,2016-05-22,NA,"C-P-173",NA,"M",NA,70,NA,NA,0,3.324,0,"#",NA,99,1,"TY","M",9,5,22,"C",NA,NA,NA,0,100,70,3.22,"M","2016-06-23",0,-0.104,32,1
24148,11005,100,"TY-2Y6B8O",NA,NA,0,37352,2016-06-23,NA,"C-P-170",NA,"M",NA,70,NA,NA,0,3.22,0,"#",NA,100,1,"TY","M",9,6,23,"C",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24149,11006,86,"TY-1O3R7Y",NA,NA,0,26667,2015-04-09,NA,"C-P-164",NA,"F",NA,73,NA,NA,0,4.042,0,"#",NA,86,1,"TY","F",8,4,9,"C",NA,NA,NA,0,87,73.5,4.044,"F","2015-05-17",0.5,0.00199999999999978,38,1
24150,11006,87,"TY-1O3R7Y",NA,NA,0,27947,2015-05-17,NA,"C-P-164",NA,"F",NA,73.5,NA,NA,0,4.044,0,"#",NA,87,1,"TY","F",8,5,17,"C",NA,NA,NA,0,89,74,4.233,"F","2015-07-10",0.5,0.189,54,2
24151,11006,89,"TY-1O3R7Y",NA,NA,0,30624,2015-07-10,NA,"C-P-164",NA,"F",NA,74,NA,NA,0,4.233,0,"#",NA,89,1,"TY","F",8,7,10,"C",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24152,11007,100,"TY-2Y3O7Y",NA,NA,0,37353,2016-06-23,NA,"C-P-183",NA,"F",NA,81,NA,NA,0,5.217,0,"redo O3 (R3?); 3481 also fits-orig.id:T1641",NA,100,1,"TY","F",9,6,23,"C",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24153,11008,86,"TY-3O7Y",NA,NA,0,26668,2015-04-09,NA,"C-P-179",NA,"F",NA,78,NA,NA,0,4.904,0,"ADDED O6, R7; 1641 (loc), 1697 (long gap) also plausible-orig.id:T1701",NA,86,1,"TY","F",8,4,9,"C",NA,NA,NA,0,87,79,5.561,"F","2015-05-17",1,0.657,38,1
24154,11008,87,"TY-3O7Y",NA,NA,0,27948,2015-05-17,NA,"C-P-179",NA,"F",NA,79,NA,NA,0,5.561,0,"#",NA,87,1,"TY","F",8,5,17,"C",NA,NA,NA,0,88,79,5.372,"F","2015-06-09",0,-0.189,23,1
24155,11008,88,"TY-3O7Y",NA,NA,0,29277,2015-06-09,NA,"C-P-180",NA,"F",NA,79,NA,NA,0,5.372,0,"#",NA,88,1,"TY","F",8,6,9,"C",NA,NA,NA,0,89,79,5.298,"F","2015-07-10",0,-0.0739999999999998,31,1
24156,11008,89,"TY-3O7Y",NA,NA,0,30625,2015-07-10,NA,"C-P-181",NA,"F",NA,79,NA,NA,0,5.298,0,"#",NA,89,1,"TY","F",8,7,10,"C",NA,NA,NA,0,98,80,5.288,"F","2016-04-22",1,-0.00999999999999979,287,9
24157,11008,98,"TY-3O7Y",NA,NA,0,32027,2016-04-22,NA,"C-P-181.5",NA,"F",NA,80,NA,NA,0,5.288,0,"#",NA,98,1,"TY","F",9,4,22,"C",NA,NA,NA,0,99,79,5.141,"F","2016-05-22",-1,-0.147,30,1
24158,11008,99,"TY-3O7Y",NA,NA,0,34601,2016-05-22,NA,"C-P-180",NA,"F",NA,79,NA,NA,0,5.141,0,"fungus-orig.id:T1701",NA,99,1,"TY","F",9,5,22,"C",NA,NA,NA,0,100,79,4.616,"F","2016-06-23",0,-0.525,32,1
24159,11008,100,"TY-3O7Y",NA,NA,0,37354,2016-06-23,NA,"C-P-183",NA,"F",NA,79,NA,NA,0,4.616,0,"redo O3, fins and body chewed-orig.id:T1701",NA,100,1,"TY","F",9,6,23,"C",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24160,11009,87,"TY-1R4O",NA,NA,0,27949,2015-05-17,NA,"C-SP-173",NA,"M",NA,72,NA,NA,0,3.574,0,"ADDED R8. REDO O4-orig.id:T1758",NA,87,1,"TY","M",8,5,17,"C",NA,NA,NA,0,89,73,3.551,"M","2015-07-10",1,-0.0229999999999997,54,2
24161,11009,89,"TY-1R4O",NA,NA,0,30626,2015-07-10,NA,"C-P-174",NA,"M",NA,73,NA,NA,0,3.551,0,"#",NA,89,1,"TY","M",8,7,10,"C",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24162,11010,89,"TY-1R5O8Y",NA,NA,0,30627,2015-07-10,NA,"C-P-176.5",NA,"F",NA,71,NA,NA,0,3.576,0,"#",NA,89,1,"TY","F",8,7,10,"C",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
