"","Phi","p","pent","N","model","npar","AICc","DeltaAICc","weight","Deviance"
"43","~habitat * period","~habitat * period","~habitat * period","~habitat","Phi(~habitat * period)p(~habitat * period)pent(~habitat * period)N(~habitat)",20,9507.11637082067,0,0.899655345883062,-9137.6063
"27","~habitat * period","~habitat * period","~habitat + period","~habitat","Phi(~habitat * period)p(~habitat * period)pent(~habitat + period)N(~habitat)",18,9511.6623375,4.5459666793322,0.092668480752403,-9129.0264
"42","~habitat + period","~habitat * period","~habitat * period","~habitat","Phi(~habitat + period)p(~habitat * period)pent(~habitat * period)N(~habitat)",18,9517.5262375,10.4098666793325,0.00493858276960546,-9123.1626
"11","~habitat * period","~habitat * period","~habitat","~habitat","Phi(~habitat * period)p(~habitat * period)pent(~habitat)N(~habitat)",16,9520.1887043384,13.0723335177281,0.00130453281707106,-9116.4696
"59","~habitat * period","~habitat * period","~period","~habitat","Phi(~habitat * period)p(~habitat * period)pent(~period)N(~habitat)",17,9521.6340836841,14.5177128634277,0.00063327868646203,-9117.0391
"26","~habitat + period","~habitat * period","~habitat + period","~habitat","Phi(~habitat + period)p(~habitat * period)pent(~habitat + period)N(~habitat)",16,9521.8129043384,14.6965335177283,0.000579114527975922,-9114.8454
"47","~habitat * period","~period","~habitat * period","~habitat","Phi(~habitat * period)p(~period)pent(~habitat * period)N(~habitat)",17,9525.0041836841,17.8878128634278,0.00011743213452725,-9113.6689
"39","~habitat * period","~habitat + period","~habitat * period","~habitat","Phi(~habitat * period)p(~habitat + period)pent(~habitat * period)N(~habitat)",18,9525.7223375,18.6059666793317,8.20052836773539e-05,-9114.9664
"10","~habitat + period","~habitat * period","~habitat","~habitat","Phi(~habitat + period)p(~habitat * period)pent(~habitat)N(~habitat)",14,9530.00506678231,22.8886959616393,9.63516126482982e-06,-9102.6264
"58","~habitat + period","~habitat * period","~period","~habitat","Phi(~habitat + period)p(~habitat * period)pent(~period)N(~habitat)",15,9530.57389889395,23.4575280732824,7.25001097967019e-06,-9104.0706
"35","~habitat * period","~habitat","~habitat * period","~habitat","Phi(~habitat * period)p(~habitat)pent(~habitat * period)N(~habitat)",16,9531.8880043384,24.7716335177283,3.75823811475594e-06,-9104.7704
"44","~period","~habitat * period","~habitat * period","~habitat","Phi(~period)p(~habitat * period)pent(~habitat * period)N(~habitat)",17,9536.1484836841,29.0321128634278,4.46511817625287e-07,-9102.5246
"28","~period","~habitat * period","~habitat + period","~habitat","Phi(~period)p(~habitat * period)pent(~habitat + period)N(~habitat)",15,9538.99049889395,31.8741280732811,1.07819470848986e-07,-9095.654
"31","~habitat * period","~period","~habitat + period","~habitat","Phi(~habitat * period)p(~period)pent(~habitat + period)N(~habitat)",15,9543.88419889395,36.7678280732816,9.33348304846353e-09,-9090.7602
"46","~habitat + period","~period","~habitat * period","~habitat","Phi(~habitat + period)p(~period)pent(~habitat * period)N(~habitat)",15,9544.17989889395,37.0635280732822,8.05069370526676e-09,-9090.4645
"38","~habitat + period","~habitat + period","~habitat * period","~habitat","Phi(~habitat + period)p(~habitat + period)pent(~habitat * period)N(~habitat)",16,9545.3716043384,38.2552335177279,4.43667641103131e-09,-9091.2867
"23","~habitat * period","~habitat + period","~habitat + period","~habitat","Phi(~habitat * period)p(~habitat + period)pent(~habitat + period)N(~habitat)",16,9545.4250043384,38.3086335177286,4.31978460069102e-09,-9091.2333
