"","S","p","Psi","model","npar","AICc","DeltaAICc","weight","Deviance"
"30","~(habitat * period) * stratum","~(habitat * period) * stratum","~(stratum:tostratum):(habitat * period)","S(~(habitat * period) * stratum)p(~(habitat * period) * stratum)Psi(~(stratum:tostratum):(habitat * period))",48,32941.541550751,0,0.386523464674352,26375.47
"15","~(habitat * period) * stratum","~(habitat * period) * stratum","~(stratum:tostratum) + (habitat * period)","S(~(habitat * period) * stratum)p(~(habitat * period) * stratum)Psi(~(stratum:tostratum) + (habitat * period))",43,32941.942195499,0.40064474796236,0.316356645723342,26386.08
"29","~habitat * period + stratum","~(habitat * period) * stratum","~(stratum:tostratum):(habitat * period)","S(~habitat * period + stratum)p(~(habitat * period) * stratum)Psi(~(stratum:tostratum):(habitat * period))",38,32942.3380245232,0.796473772141326,0.259551642570431,26396.664
"14","~habitat * period + stratum","~(habitat * period) * stratum","~(stratum:tostratum) + (habitat * period)","S(~habitat * period + stratum)p(~(habitat * period) * stratum)Psi(~(stratum:tostratum) + (habitat * period))",33,32946.2089589476,4.66740819658298,0.0374680465808951,26410.699
"12","~(habitat * period) * stratum","~habitat * period + stratum","~(stratum:tostratum) + (habitat * period)","S(~(habitat * period) * stratum)p(~habitat * period + stratum)Psi(~(stratum:tostratum) + (habitat * period))",33,32959.7269589476,18.1854081965866,4.3477508462663e-05,26424.217
"28","~habitat * period","~(habitat * period) * stratum","~(stratum:tostratum):(habitat * period)","S(~habitat * period)p(~(habitat * period) * stratum)Psi(~(stratum:tostratum):(habitat * period))",36,32960.2776300499,18.736079298913,3.3013223931064e-05,26418.672
"27","~(habitat * period) * stratum","~habitat * period + stratum","~(stratum:tostratum):(habitat * period)","S(~(habitat * period) * stratum)p(~habitat * period + stratum)Psi(~(stratum:tostratum):(habitat * period))",38,32961.8950245232,20.353473772142,1.47053440680985e-05,26416.221
"11","~habitat * period + stratum","~habitat * period + stratum","~(stratum:tostratum) + (habitat * period)","S(~habitat * period + stratum)p(~habitat * period + stratum)Psi(~(stratum:tostratum) + (habitat * period))",23,32964.4078302783,22.8662795273267,4.18626149984631e-06,26449.157
"26","~habitat * period + stratum","~habitat * period + stratum","~(stratum:tostratum):(habitat * period)","S(~habitat * period + stratum)p(~habitat * period + stratum)Psi(~(stratum:tostratum):(habitat * period))",28,32965.0299202537,23.4883695027165,3.06719389986767e-06,26439.661
"13","~habitat * period","~(habitat * period) * stratum","~(stratum:tostratum) + (habitat * period)","S(~habitat * period)p(~(habitat * period) * stratum)Psi(~(stratum:tostratum) + (habitat * period))",31,32966.1517846293,24.6102338783166,1.75037651580037e-06,26434.701
