"","Phi","p","pent","N","model","npar","AICc","DeltaAICc","weight","Deviance"
"39","~habitat * period","~habitat + period","~habitat * period","~habitat","Phi(~habitat * period)p(~habitat + period)pent(~habitat * period)N(~habitat)",18,10387.1120177655,0,0.53518462430312,-12492.599
"43","~habitat * period","~habitat * period","~habitat * period","~habitat","Phi(~habitat * period)p(~habitat * period)pent(~habitat * period)N(~habitat)",20,10387.3958767773,0.283859011755339,0.464370290412075,-12496.346
"42","~habitat + period","~habitat * period","~habitat * period","~habitat","Phi(~habitat + period)p(~habitat * period)pent(~habitat * period)N(~habitat)",18,10402.5870177655,15.4749999999985,0.000233426454740329,-12477.123
"38","~habitat + period","~habitat + period","~habitat * period","~habitat","Phi(~habitat + period)p(~habitat + period)pent(~habitat * period)N(~habitat)",16,10402.8303401736,15.7183224081436,0.000206687058451706,-12472.853
"40","~period","~habitat + period","~habitat * period","~habitat","Phi(~period)p(~habitat + period)pent(~habitat * period)N(~habitat)",15,10411.8186932334,24.7066754678835,2.30949601305034e-06,-12461.852
"44","~period","~habitat * period","~habitat * period","~habitat","Phi(~period)p(~habitat * period)pent(~habitat * period)N(~habitat)",17,10412.3617815275,25.2497637620345,1.76030163429122e-06,-12465.334
"41","~habitat","~habitat * period","~habitat * period","~habitat","Phi(~habitat)p(~habitat * period)pent(~habitat * period)N(~habitat)",16,10414.8633401736,27.7513224081431,5.03941975472812e-07,-12460.82
"37","~habitat","~habitat + period","~habitat * period","~habitat","Phi(~habitat)p(~habitat + period)pent(~habitat * period)N(~habitat)",14,10415.4258402367,28.3138224711911,3.8039534819987e-07,-12456.233
"35","~habitat * period","~habitat","~habitat * period","~habitat","Phi(~habitat * period)p(~habitat)pent(~habitat * period)N(~habitat)",16,10421.6593401736,34.5473224081434,1.68518616337941e-08,-12454.023
"27","~habitat * period","~habitat * period","~habitat + period","~habitat","Phi(~habitat * period)p(~habitat * period)pent(~habitat + period)N(~habitat)",18,10428.5420177655,41.4299999999985,5.39626706616569e-10,-12451.168
