"","S","p","Psi","model","npar","AICc","DeltaAICc","weight","Deviance"
"30","~(habitat * period) * stratum","~(habitat * period) * stratum","~(stratum:tostratum):(habitat * period)","S(~(habitat * period) * stratum)p(~(habitat * period) * stratum)Psi(~(stratum:tostratum):(habitat * period))",48,22435.2057202652,0,0.955948373223405,14624.235
"21","~(habitat * period) * stratum","~habitat * period","~(stratum:tostratum):(habitat * period)","S(~(habitat * period) * stratum)p(~habitat * period)Psi(~(stratum:tostratum):(habitat * period))",36,22441.9766407606,6.77092049541534,0.0323703752689766,14655.431
"15","~(habitat * period) * stratum","~(habitat * period) * stratum","~(stratum:tostratum) + (habitat * period)","S(~(habitat * period) * stratum)p(~(habitat * period) * stratum)Psi(~(stratum:tostratum) + (habitat * period))",43,22444.9362746843,9.73055441910037,0.00737006627824646,14644.157
"27","~(habitat * period) * stratum","~habitat * period + stratum","~(stratum:tostratum):(habitat * period)","S(~(habitat * period) * stratum)p(~habitat * period + stratum)Psi(~(stratum:tostratum):(habitat * period))",38,22446.0089032258,10.8031829605789,0.00431075226530522,14655.401
"28","~habitat * period","~(habitat * period) * stratum","~(stratum:tostratum):(habitat * period)","S(~habitat * period)p(~(habitat * period) * stratum)Psi(~(stratum:tostratum):(habitat * period))",36,22467.0136407606,31.8079204954156,1.18421964822188e-07,14680.468
"20","~habitat * period + stratum","~habitat * period","~(stratum:tostratum):(habitat * period)","S(~habitat * period + stratum)p(~habitat * period)Psi(~(stratum:tostratum):(habitat * period))",26,22467.3826039604,32.1768836951669,9.84720369527702e-08,14701.097
"29","~habitat * period + stratum","~(habitat * period) * stratum","~(stratum:tostratum):(habitat * period)","S(~habitat * period + stratum)p(~(habitat * period) * stratum)Psi(~(stratum:tostratum):(habitat * period))",38,22467.4409032258,32.2351829605796,9.56430455869581e-08,14676.832
"19","~habitat * period","~habitat * period","~(stratum:tostratum):(habitat * period)","S(~habitat * period)p(~habitat * period)Psi(~(stratum:tostratum):(habitat * period))",24,22467.8824226804,32.6767024151814,7.6697050994555e-08,14705.64
"25","~habitat * period","~habitat * period + stratum","~(stratum:tostratum):(habitat * period)","S(~habitat * period)p(~habitat * period + stratum)Psi(~(stratum:tostratum):(habitat * period))",26,22470.1826039604,34.9768836951662,2.42829053457076e-08,14703.898
"26","~habitat * period + stratum","~habitat * period + stratum","~(stratum:tostratum):(habitat * period)","S(~habitat * period + stratum)p(~habitat * period + stratum)Psi(~(stratum:tostratum):(habitat * period))",28,22470.8221217499,35.616401484669,1.76372602575545e-08,14700.491
"6","~(habitat * period) * stratum","~habitat * period","~(stratum:tostratum) + (habitat * period)","S(~(habitat * period) * stratum)p(~habitat * period)Psi(~(stratum:tostratum) + (habitat * period))",31,22475.9716634318,40.7659431665306,1.34345262138676e-09,14699.567
"12","~(habitat * period) * stratum","~habitat * period + stratum","~(stratum:tostratum) + (habitat * period)","S(~(habitat * period) * stratum)p(~habitat * period + stratum)Psi(~(stratum:tostratum) + (habitat * period))",33,22479.7965405908,44.5908203255567,1.98454446049738e-10,14699.338
