"","stream","habitat","period","parameter","stratum","estimate","se","lcl","ucl"
"1","CA","C",1,"S","1",0.911802382539508,0.00960289511461933,0.891078210034381,0.928898100952145
"2","CA","C",2,"S","1",0.913451631451498,0.0108799992496135,0.88961305269379,0.932532562726235
"3","CA","C",3,"S","1",0.829931449348422,0.0289471615096147,0.765518484114179,0.879436629738622
"4","CA","C",1,"S","2",0.939564932067398,0.00538526727555347,0.928106724740224,0.949296680872165
"5","CA","C",2,"S","2",0.932208341796548,0.00802807888017806,0.914677488332352,0.946348425527762
"6","CA","C",3,"S","2",0.88209509512412,0.014345423923662,0.850950957301076,0.907439465354731
"7","CA","C",1,"S","3",0.943090693968011,0.00612324345472022,0.92983077613349,0.953968951977377
"8","CA","C",2,"S","3",0.935602793176283,0.00597421773003652,0.922854412092027,0.946366954684144
"9","CA","C",3,"S","3",0.905760727982194,0.0102865965991073,0.883576235575523,0.924081158011903
"10","CA","I",1,"S","1",0.923241504218399,0.0208632723371726,0.871042693491025,0.955393512393707
"11","CA","I",2,"S","1",0.822171898867427,0.052322857404036,0.696294622406716,0.903134668672583
"12","CA","I",3,"S","1",0.659089935517448,0.102939000180104,0.440608958376062,0.825947322553962
"13","CA","I",1,"S","2",0.93897372753496,0.00786625431408937,0.921609922526111,0.952688743720016
"14","CA","I",2,"S","2",0.923211677811922,0.0137267283810435,0.891610697420601,0.946155771586526
"15","CA","I",3,"S","2",0.842305622761095,0.0355085864076653,0.759789737450259,0.900199301263816
"16","CA","I",1,"S","3",0.922933580890677,0.00992113801552334,0.901099848443384,0.940266761523952
"17","CA","I",2,"S","3",0.907501577092536,0.0108319184130689,0.883971667006479,0.926655680191204
"18","CA","I",3,"S","3",0.819514045378411,0.0272127527246323,0.759960415153915,0.866880509852575
"19","CA","C",1,"Psi","1to2",0.26158396361399,0.0329115039371617,0.202344759800087,0.330970191612098
"20","CA","C",2,"Psi","1to2",0.286807680076383,0.0368042615711881,0.220355980228541,0.363944324114663
"21","CA","C",3,"Psi","1to2",0.419615718016759,0.0622762176691874,0.304588557479103,0.544094997646999
"22","CA","C",1,"Psi","2to3",0.171657463469947,0.0194614127835645,0.136793471022484,0.213212429255903
"23","CA","C",2,"Psi","2to3",0.207673370680158,0.0263075710729134,0.160789272337677,0.26392891333319
"24","CA","C",3,"Psi","2to3",0.231229096346705,0.0309902213017901,0.176088719314292,0.297403448953107
"25","CA","I",1,"Psi","1to2",0.421536309210482,0.094966553735441,0.253545437527428,0.609890484794045
"26","CA","I",2,"Psi","1to2",0.256985769885679,0.084244150358829,0.12714664035345,0.450918021798742
