"","stream","habitat","period","parameter","estimate","se","lcl","ucl"
"1","CA","C",1,"Phi",0.936794929884449,0.00372917470147261,0.929079646299675,0.943721684720958
"2","CA","C",2,"Phi",0.927493998723511,0.00450984716533958,0.91814290008305,0.9358514938794
"3","CA","C",3,"Phi",0.891211440395274,0.00657137350036608,0.877646768775864,0.903437721138223
"4","CA","I",1,"Phi",0.93227191100815,0.00478728059583755,0.922264570238658,0.941073259309378
"5","CA","I",2,"Phi",0.89858586693212,0.00824599543805212,0.881243520935501,0.913643864923169
"6","CA","I",3,"Phi",0.794191453390608,0.0230373878172298,0.745382482841358,0.835706360995658
"7","CA","C",1,"pop.dens",8.70054770846177,0.39096977858999,7.93424694242539,9.46684847449815
"8","CA","C",2,"pop.dens",8.29460502901899,0.372789313882621,7.56393797380905,9.02527208422893
"9","CA","C",3,"pop.dens",4.26115500234334,0.198856916613315,3.87139544578124,4.65091455890544
"10","CA","I",1,"pop.dens",2.76081946060057,0.152201017900816,2.46250546551498,3.05913345568617
"11","CA","I",2,"pop.dens",2.02121325394791,0.119106975227021,1.78776358250295,2.25466292539287
"12","CA","I",3,"pop.dens",0.784921242284418,0.0907381689171102,0.607074431206882,0.962768053361954
"13","CA","C",1,"babies",0.277604529961953,0.0176693482203839,0.242972607450001,0.312236452473906
"14","CA","C",2,"babies",0.218542996412724,0.0156774126484746,0.187815267621714,0.249270725203734
"15","CA","C",3,"babies",0.405515435820356,0.0260198177220722,0.354516593085094,0.456514278555618
"16","CA","I",1,"babies",0.228654845681262,0.0205950460694916,0.188288555385058,0.269021135977465
"17","CA","I",2,"babies",0.247827344907665,0.0234106332492059,0.201942503739222,0.293712186076109
"18","CA","I",3,"babies",0.532904630479532,0.09477333154821,0.347148900645041,0.718660360314024
"19","TY","C",1,"Phi",0.894156118497806,0.00507201390684406,0.88379569194476,0.903693461680047
"20","TY","C",2,"Phi",0.893370360306938,0.00700897180461635,0.878833624890122,0.906348971591166
"21","TY","C",3,"Phi",0.87827606988203,0.00854281878603283,0.860516562934177,0.894052802176031
"22","TY","I",1,"Phi",0.923770827734076,0.00416157611515664,0.91520333108579,0.931537417297918
"23","TY","I",2,"Phi",0.904305112122961,0.00640630205922409,0.890991303151185,0.916145880982329
"24","TY","I",3,"Phi",0.808249160587903,0.0279488180415627,0.747481114483984,0.857187610170033
"25","TY","C",1,"pop.dens",10.8446483520745,0.436170708135784,9.98975376412835,11.6995429400206
"26","TY","C",2,"pop.dens",6.81322970970932,0.333208631800292,6.16014079138074,7.46631862803789
"27","TY","C",3,"pop.dens",2.00388029095387,0.112537018542443,1.78330773461068,2.22445284729706
"28","TY","I",1,"pop.dens",7.15356942557519,0.295455685722191,6.5744762815597,7.73266256959068
"29","TY","I",2,"pop.dens",6.37372799172415,0.289756602920294,5.80580505000037,6.94165093344793
"30","TY","I",3,"pop.dens",0.840479808897359,0.105616735341885,0.633471007627265,1.04748861016745
"31","TY","C",1,"babies",0.365727631869614,0.020074334293843,0.326381936653681,0.405073327085546
"32","TY","C",2,"babies",0.280697401095836,0.0230901611113961,0.2354406853175,0.325954116874172
"33","TY","C",3,"babies",0.433099773185486,0.0401785505975058,0.354349814014375,0.511849732356597
"34","TY","I",1,"babies",0.363565392971122,0.0195563761004865,0.325234895814169,0.401895890128076
"35","TY","I",2,"babies",0.249327795080678,0.0183765849487,0.213309688581226,0.28534590158013
"36","TY","I",3,"babies",0.514892014156287,0.108137643298734,0.302942233290769,0.726841795021804
